revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
0.294011,2.6744796,0.037078,4.8493199999999995e-09,0.462208934766,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.352567,19.1861528,-0.184436,-5.55432e-09,1.5812383129907,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
7.909232,40.1286234,0.478181,1.18415999999999e-08,3.0976328302898,1.28084e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.9125,19.4566486,0.06638,2.06129e-08,0.7908602040652,6.259779999999999e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.035243,0.971499,-0.011065,-7.4783e-11,0.00538552413648,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.634384269,12.195703172,0.0597477,3.65354e-08,0.8668009413696001,2.36514e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.007164,1.491689092,-0.044325,-6.97107e-12,0.02607472532816,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.000225,1.5182053,-0.015271,-2.60844e-10,0.01311410575136,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.981822649,8.431925556,0.886094,9.21811e-09,6.1017591866138,5.00297e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.397441548,5.1681537116,0.0834373,9.27912e-09,0.8629369241058,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.307924,16.6183476,-0.017194,5.5417699999999996e-09,0.5014968602675,8.222930000000001e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
7.305495,61.579626104,1.14648,1.53221e-08,16.60981831119515,1.955509999999999e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
11.364748,101.3292506,1.3740052,2.57249e-08,16.60981831119515,1.3112799999999998e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.012317,2.7887736,-0.195505,-1.64516e-09,0.3175799783078,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.004495,0.086177676,-0.030365,-4.28016e-11,0.00439093317672,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.01,2.20320734,-0.089491,-6.15561e-10,0.08866521328576,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.0419,6.0271036,-0.0083,-7.08036e-09,0.3030626531161,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
10.451261,153.4701734,1.3740052,8.645699999999999e-09,10.710080500736,5.71640999999999e-08,0.000115,0.087,0.023,0.0025,1.0,0.025
3.2153,102.3921848,-0.2482,7.430599999999999e-08,13.274533271798,2.7504e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,30.6003136,1.3740052,2.22723e-08,16.528759537336,3.653079999999999e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.087845,25.4418444,0.017922,1.80486e-08,0.2074807814565999,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.23887807,7.8196145,0.152882,1.3082e-08,1.1783338672027,7.73371e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.262277506,11.701343524,0.257148,1.25701e-08,1.4381691488472998,3.321830000000001e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.432342,0.5181328,0.05775,2.3603e-08,0.02014572864992,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.234082,43.8736568,0.458265,3.7140099999999997e-09,1.505638616791,5.14492e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.0,1.994201712,-0.0280791,-1.66242e-09,0.0476757762432,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.15906,59.9510128,0.201426,5.01401e-08,9.5109882669466,4.06503999999999e-08,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,6.438562,-0.0918918,-1.07644e-08,0.6918943034624,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.001,10.1797856,-0.025309,-5.47083e-08,0.02476599197568,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.229554,9.5321196,0.098813,-3.58e-08,0.9730673453158,8.561569999999997e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
